Trigger,Period,Sell_mul,Return
2.0,20.0,0.7,0.207
1.0,10.0,0.1,-0.073
1.0,10.0,0.3,-0.003
1.0,10.0,0.2,0.324
1.0,10.0,0.4,0.016
1.0,10.0,0.5,0.059
1.0,10.0,0.6,0.021
1.0,10.0,0.7,0.035
1.0,10.0,0.8,0.261
1.0,15.0,0.1,0.498
1.0,15.0,0.2,0.368
1.0,10.0,0.9,0.197
1.0,10.0,1.0,0.152
1.0,15.0,0.3,0.496
1.0,15.0,0.4,0.377
1.0,15.0,0.5,0.315
1.0,15.0,0.6,0.291
1.0,15.0,0.7,0.258
1.0,15.0,0.9,0.273
1.0,15.0,0.8,0.246
1.0,15.0,1.0,0.246
1.0,20.0,0.1,0.677
1.0,20.0,0.2,0.473
1.0,20.0,0.3,0.407
1.0,20.0,0.4,0.312
1.0,20.0,0.5,0.316
1.0,20.0,0.6,0.444
1.0,20.0,0.7,0.338
1.0,20.0,0.8,0.313
1.0,20.0,0.9,0.287
1.0,25.0,0.1,0.269
1.0,20.0,1.0,0.284
1.0,25.0,0.2,0.613
1.0,25.0,0.3,0.541
1.0,25.0,0.4,0.624
1.0,25.0,0.5,0.638
1.0,25.0,0.6,0.628
1.0,25.0,0.7,0.624
1.0,25.0,0.8,0.611
1.0,25.0,0.9,0.660
1.0,30.0,0.1,-0.412
1.0,25.0,1.0,0.577
1.0,30.0,0.2,0.309
1.0,30.0,0.3,0.554
1.0,30.0,0.4,0.493
1.0,30.0,0.5,0.496
1.0,30.0,0.6,0.475
1.0,30.0,0.7,0.478
1.0,30.0,0.8,0.511
1.0,30.0,0.9,0.499
1.0,35.0,0.1,-0.021
1.0,30.0,1.0,0.515
1.0,35.0,0.2,0.443
1.0,35.0,0.3,0.372
1.0,35.0,0.4,0.316
1.0,35.0,0.5,0.240
1.0,35.0,0.6,0.254
1.0,35.0,0.7,0.300
1.0,35.0,0.8,0.284
1.0,35.0,0.9,0.294
1.0,35.0,1.0,0.270
1.0,40.0,0.1,0.241
1.0,40.0,0.2,0.173
1.0,40.0,0.3,0.283
1.0,40.0,0.4,0.366
1.0,40.0,0.5,0.382
1.0,40.0,0.6,0.336
1.0,40.0,0.7,0.237
1.0,40.0,0.8,0.211
1.0,40.0,0.9,0.223
1.0,45.0,0.1,0.120
1.0,40.0,1.0,0.267
1.0,45.0,0.2,0.035
1.0,45.0,0.3,0.190
1.0,45.0,0.4,0.259
1.0,45.0,0.5,0.266
1.0,45.0,0.6,0.370
1.0,45.0,0.7,0.397
1.0,45.0,0.8,0.386
1.0,45.0,0.9,0.294
1.0,45.0,1.0,0.256
1.0,50.0,0.1,0.260
1.0,50.0,0.2,0.146
1.0,50.0,0.3,0.147
1.0,50.0,0.4,0.190
1.0,50.0,0.5,0.201
1.0,50.0,0.6,0.161
1.0,50.0,0.7,0.172
1.0,50.0,0.8,0.175
1.0,50.0,0.9,0.243
1.0,50.0,1.0,0.265
1.5,10.0,0.1,-0.335
1.5,10.0,0.2,0.158
1.5,10.0,0.3,0.171
1.5,10.0,0.4,0.151
1.5,10.0,0.5,0.156
1.5,10.0,0.6,0.160
1.5,10.0,0.7,0.102
1.5,10.0,0.8,0.095
1.5,10.0,0.9,0.117
1.5,15.0,0.1,0.640
1.5,10.0,1.0,0.101
1.5,15.0,0.2,0.036
1.5,15.0,0.3,0.388
1.5,15.0,0.4,0.367
1.5,15.0,0.5,0.297
1.5,15.0,0.6,0.332
1.5,15.0,0.7,0.343
1.5,15.0,0.9,0.268
1.5,15.0,0.8,0.265
1.5,15.0,1.0,0.239
1.5,20.0,0.1,0.521
1.5,20.0,0.3,0.256
1.5,20.0,0.2,0.400
1.5,20.0,0.4,0.337
1.5,20.0,0.5,0.352
1.5,20.0,0.6,0.318
1.5,20.0,0.7,0.295
1.5,20.0,0.8,0.247
1.5,20.0,0.9,0.280
1.5,25.0,0.1,0.326
1.5,20.0,1.0,0.243
1.5,25.0,0.3,0.466
1.5,25.0,0.2,0.453
1.5,25.0,0.4,0.422
1.5,25.0,0.5,0.430
1.5,25.0,0.6,0.533
1.5,25.0,0.7,0.373
